
  VITE v8.2.2  ready in 265 ms

  ➜  Local:   http://127.0.0.1:5173/
  ➜  press h + enter to show help
21:57:00 [vite] (client) hmr update /src/UnifiedWorkspace.vue
21:59:26 [vite] (client) hmr update /src/UnifiedWorkspace.vue
22:00:06 [vite] (client) hmr update /src/UnifiedWorkspace.vue
22:00:54 [vite] (client) hmr update /src/dataManager.css
22:02:26 [vite] (client) hmr update /src/UnifiedWorkspace.vue
22:37:39 [vite] (client) hmr update /src/dataManager.css
22:37:39 [vite] (client) hmr update /src/dataManager.css
22:37:39 [vite] (client) hmr update /src/dataManager.css
22:37:39 [vite] (client) hmr update /src/UnifiedWorkspace.vue
23:50:45 [vite] (client) hmr update /src/UnifiedWorkspace.vue
23:50:54 [vite] (client) hmr update /src/UnifiedWorkspace.vue
23:53:15 [vite] (client) hmr update /src/UnifiedWorkspace.vue
23:53:36 [vite] (client) hmr update /src/UnifiedWorkspace.vue
23:53:50 [vite] (client) hmr update /src/dataManager.css
23:58:23 [vite] (client) hmr update /src/dataManager.css
23:59:04 [vite] (client) hmr update /src/UnifiedWorkspace.vue
23:59:29 [vite] (client) hmr update /src/UnifiedWorkspace.vue
00:11:22 [vite] (client) hmr update /src/UnifiedWorkspace.vue
